id,created_at,updated_at,pushed_at,size,stargazers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,archived,open_issues_count,is_template,web_commit_signoff_required,forks,open_issues,network_count,subscribers_count,language_TypeScript,language_Markdown,language_HTML,language_Python,language_JavaScript,language_C,language_C++,language_Shell,language_MDX,language_Dart,language_Jupyter Notebook,language_Java,language_Go,language_Batchfile,language_C#,language_Rust,language_Dockerfile,language_Vim Script,language_Vue,language_CSS,language_Blade,language_Clojure,language_Zig,language_Scala,language_PHP,language_Assembly,language_Nunjucks,language_Ruby,language_Kotlin,language_Makefile,language_Swift,language_Julia,language_Astro,language_Roff,language_Lua,language_Haskell,language_Svelte,language_TeX,language_V,language_PowerShell,language_Objective-C,language_LLVM,language_Jinja,language_SCSS,language_Elixir,language_Cuda
14440270,1384569444,1747909555,1747750956,15060,182105,1,1,1,0,0,0,33637,0,125,0,0,33637,125,33637,5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121395510,1518533784,1747909532,1724233210,116179,180290,1,1,1,1,1,0,51192,0,187,0,0,51192,187,51192,5268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19415064,1399162719,1747908194,1747829289,1745,180152,1,1,1,1,1,0,22850,0,14,0,0,22850,14,22850,5852,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291137,1251483337,1747911362,1747906054,12605,178643,1,1,1,1,0,1,26080,0,481,0,0,26080,481,26080,2645,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614765452,1678958467,1747911588,1747869842,246723,175507,1,0,1,1,0,0,45725,0,196,0,0,45725,196,45725,1552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2126244,1311974340,1747902722,1747761464,256954,172331,1,1,1,0,1,1,79109,0,535,0,0,79109,535,79109,6711,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41881900,1441311818,1747912627,1747912298,1012475,172027,1,1,1,1,0,0,32507,0,10309,0,0,32507,10309,32507,3353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31792824,1425682498,1747911242,1747908093,318670,170375,1,1,1,1,0,0,28569,0,13050,0,0,28569,13050,28569,3500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138393139,1529750594,1747911046,1732024838,1748,169780,0,0,1,0,0,0,10622,0,92,0,0,10622,92,10622,2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123458551,1519920352,1747912624,1743157763,396875,166838,1,1,1,1,0,0,53872,0,722,0,0,53872,722,53872,6110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
